item_id,timestamp,target
현대모비스,2026-01-02,369000
현대모비스,2026-01-05,372000
현대모비스,2026-01-06,366000
현대모비스,2026-01-07,392500
현대모비스,2026-01-08,391000
현대모비스,2026-01-09,399500
현대모비스,2026-01-12,394000
현대모비스,2026-01-13,451000
현대모비스,2026-01-14,450000
현대모비스,2026-01-15,450500
현대모비스,2026-01-16,431000
현대모비스,2026-01-19,457500
현대모비스,2026-01-20,451000
현대모비스,2026-01-21,487500
현대모비스,2026-01-22,453500
현대모비스,2026-01-23,457000
신한지주,2025-12-24,77800
신한지주,2025-12-26,76800
신한지주,2025-12-29,77900
신한지주,2025-12-30,76900
신한지주,2026-01-02,76600
신한지주,2026-01-05,79100
신한지주,2026-01-06,80500
신한지주,2026-01-07,79000
신한지주,2026-01-08,77500
신한지주,2026-01-09,77800
신한지주,2026-01-12,78200
신한지주,2026-01-13,78400
신한지주,2026-01-14,79900
신한지주,2026-01-15,79400
신한지주,2026-01-16,79200
신한지주,2026-01-19,79700
신한지주,2026-01-20,81900
신한지주,2026-01-21,81200
신한지주,2026-01-22,82900
신한지주,2026-01-23,83500
한국전력,2025-12-24,48150
한국전력,2025-12-26,48500
한국전력,2025-12-29,47250
한국전력,2025-12-30,47200
한국전력,2026-01-02,46500
한국전력,2026-01-05,49850
한국전력,2026-01-06,50500
한국전력,2026-01-07,49600
한국전력,2026-01-08,49150
한국전력,2026-01-09,49400
한국전력,2026-01-12,51000
한국전력,2026-01-13,55700
한국전력,2026-01-14,53600
한국전력,2026-01-15,53800
한국전력,2026-01-16,54700
한국전력,2026-01-19,56300
한국전력,2026-01-20,65400
한국전력,2026-01-21,67900
한국전력,2026-01-22,66000
한국전력,2026-01-23,61200
삼성생명,2025-12-24,163700
삼성생명,2025-12-26,162500
삼성생명,2025-12-29,157600
삼성생명,2025-12-30,157600
삼성생명,2026-01-02,156300
삼성생명,2026-01-05,164100
삼성생명,2026-01-06,165400
삼성생명,2026-01-07,162000
삼성생명,2026-01-08,159200
삼성생명,2026-01-09,159500
삼성생명,2026-01-12,158100
삼성생명,2026-01-13,159100
삼성생명,2026-01-14,161900
삼성생명,2026-01-15,161200
삼성생명,2026-01-16,170600
삼성생명,2026-01-19,167000
삼성생명,2026-01-20,175200
삼성생명,2026-01-21,174700
삼성생명,2026-01-22,178800
삼성생명,2026-01-23,184400
고려아연,2025-12-24,1316000
고려아연,2025-12-26,1288000
고려아연,2025-12-29,1372000
고려아연,2025-12-30,1316000
고려아연,2026-01-02,1287000
고려아연,2026-01-05,1307000
고려아연,2026-01-06,1192000
고려아연,2026-01-07,1239000
고려아연,2026-01-08,1203000
고려아연,2026-01-09,1142000
고려아연,2026-01-12,1208000
고려아연,2026-01-13,1330000
고려아연,2026-01-14,1290000
고려아연,2026-01-15,1438000
고려아연,2026-01-16,1585000
고려아연,2026-01-19,1584000
고려아연,2026-01-20,1621000
고려아연,2026-01-21,1657000
고려아연,2026-01-22,1555000
고려아연,2026-01-23,1581000
HD현대일렉트릭,2025-12-24,780000
HD현대일렉트릭,2025-12-26,764000
HD현대일렉트릭,2025-12-29,788000
HD현대일렉트릭,2025-12-30,774000
HD현대일렉트릭,2026-01-02,819000
HD현대일렉트릭,2026-01-05,868000
HD현대일렉트릭,2026-01-06,834000
HD현대일렉트릭,2026-01-07,821000
HD현대일렉트릭,2026-01-08,862000
HD현대일렉트릭,2026-01-09,848000
HD현대일렉트릭,2026-01-12,876000
HD현대일렉트릭,2026-01-13,886000
HD현대일렉트릭,2026-01-14,922000
HD현대일렉트릭,2026-01-15,892000
HD현대일렉트릭,2026-01-16,906000
HD현대일렉트릭,2026-01-19,918000
HD현대일렉트릭,2026-01-20,915000
HD현대일렉트릭,2026-01-21,894000
HD현대일렉트릭,2026-01-22,888000
HD현대일렉트릭,2026-01-23,888000
HD한국조선해양,2025-12-24,416000
